Index,X1_t,X2_t,x1_bin,x2_bin
63864,1.0650997363493826,0.726513663999334,46,39
60676,1.0489983193443946,0.6907266123325935,39,29
97983,0.9125813148354462,0.44505032782582093,37,28
13869,0.9961292616717522,0.5761850697568812,44,39
220782,1.0317371946556602,0.7232539394474933,13,12
432446,0.8299319503062206,0.39229323753301537,44,40
424146,0.9678688510216773,0.5467116511729934,49,45
289585,0.850104952685818,0.391044930601196,14,8
85228,0.9540180144531836,0.5272035139335838,33,25
403339,0.8367465661464573,0.38728986821534267,33,30
83180,1.0543332821522708,0.6821247264914567,32,23
263350,0.982060394492976,0.5559477740465059,33,26
220,0.9589511614264448,0.5395812687478025,30,28
227990,0.8842753451900296,0.4164159066568689,41,35
94496,0.8180703008374044,0.3778151577255874,11,8
99942,0.9391840952960173,0.5190617309574664,49,43
282735,1.018943370334857,0.6731340150680614,8,7
342695,0.9712250802840234,0.5776712700431346,26,21
325445,0.9427483682886995,0.5108878638416274,14,12
218977,0.9399670513169921,0.49399918911335694,12,10
87158,0.8587114433197477,0.43144158482423955,39,33
293650,1.0773754364036303,0.7986254239189926,43,37
94995,0.8993827911724278,0.47333416912405213,6,6
47373,0.8448239314768361,0.37440746652073914,33,25
91200,0.9164771698494563,0.4946673356656676,10,7
493276,0.8480295943383056,0.4486739395154533,49,47
257082,0.9407478954841217,0.5077552439030821,40,36
256491,1.057526551680895,0.7437798442646673,43,38
22786,0.9911571862925594,0.5719054564899783,40,31
700,1.0160831525185334,0.6369127137520091,39,29
123306,0.932660465270158,0.47076773427998586,26,19
30947,1.0314941911685993,0.6628959609222077,41,33
44791,0.9909264605582879,0.6269448662074486,29,19
116060,0.9158841195836512,0.47215031196902263,30,19
267388,1.070774834963334,0.771711302956652,40,35
401216,0.912048292107016,0.5008281996532797,48,47
425311,1.0712037181166165,0.7696237579429065,49,45
13791,1.0694937088282868,0.77838796731686,44,38
266927,1.0251074949425998,0.6976702031099309,37,31
274994,0.8348474491663813,0.37891999434589124,22,18
429035,0.9826525021052392,0.5678370084845923,0,3
30789,1.0313940904735017,0.6563021613038648,42,33
92906,0.8323454287286037,0.3977155566518748,1,3
132258,0.9178338033660232,0.48163616144648397,13,9
74978,0.8945045411654442,0.4627746642508966,45,38
282770,0.9705847442630586,0.548631262606767,8,7
80877,0.8945357278092783,0.45850458046305637,40,32
421877,0.9267562990883149,0.493530132976894,46,43
410097,1.0331115068141552,0.6942317717099543,48,44
374524,0.9169500314098424,0.47173266632107697,30,25
435007,1.0602897684268886,0.7556992093805956,44,41
222575,0.7956024721512619,0.3396867128251658,25,20
46634,0.872647290901941,0.4466224555093002,37,28
425826,1.0175432755229334,0.647720305324271,47,42
400155,0.8899420953831099,0.47122419064082244,47,47
459367,0.8547913871824304,0.403163747785366,30,22
261123,0.9058093867256385,0.4912733954731277,38,34
95447,0.9637436066924461,0.6003663369184575,6,5
98088,0.9587909434859049,0.530483356746784,45,34
402307,0.9971772574723624,0.6009462755246696,48,46
261154,0.9630076040492682,0.5533099030573525,38,35
260760,0.995914599414248,0.5957165913406355,39,35
24887,0.8617465696708289,0.40975325798872275,42,34
447007,0.9733076644907245,0.5870685536740086,20,16
458797,0.962342417480371,0.5429791678469837,49,47
52270,0.8821041509743576,0.4014040726542356,24,16
402857,0.9150668219124831,0.48909822742184617,37,34
233295,1.0583962761888195,0.7669897137159561,36,32
248484,1.0476521297195251,0.74317419635167,26,21
