Index,X1_t,X2_t,x1_bin,x2_bin
43229,0.7918835630481734,0.4420059234242188,30,22
221564,0.3908458847680039,0.0722311564810765,0,0
134748,0.8540910421324357,0.5181970765732458,35,26
416226,0.6231000157567145,0.2407684216774683,17,10
294348,1.0201265052340729,0.8318598485695506,47,45
124756,0.8950131451372735,0.5891760342724686,38,31
485674,1.0056078833704314,0.7731174886625278,46,41
283729,0.8026964934950022,0.4142010394551385,31,20
42654,0.5297268674236677,0.1661853051866513,10,6
283402,0.6365637680169501,0.2551841768703048,18,11
222173,0.7913655198388915,0.4986010349733026,30,25
171519,0.58212374719495,0.2169165335464701,14,9
283258,0.5064297192097894,0.133502860325117,9,4
434856,0.8077546674688499,0.4441053138138996,31,22
22957,0.9603132471373258,0.695155856832841,43,37
399312,0.8378659821474295,0.5087509945568474,34,26
222193,0.7789931752653421,0.4752387693372109,29,24
16642,0.9709919084880184,0.7230693443190992,44,38
467801,0.9490457184904888,0.693275092045433,42,37
283825,0.7941716113476347,0.4092989256428995,30,20
169348,0.8573673642875943,0.4876528700087288,35,25
415937,0.7674177708762163,0.42412978560169,28,21
221788,0.6353927686660188,0.2688419812383147,18,12
239835,0.5959838764347394,0.2281837452632167,15,10
204403,0.9063053323297412,0.6577116143659776,39,35
196395,0.4910243051065644,0.128649122548718,7,4
42180,0.9138335545779408,0.640175864941162,39,34
134061,0.5527004760740765,0.1745150577333144,12,6
124454,0.8562353683938985,0.5063409741618083,35,26
204214,0.7114043175843053,0.3642316041537437,24,17
289482,1.001668597213216,0.7974953191385662,46,43
385020,0.6590277628660455,0.2719090252919524,20,12
196257,0.4437451947266917,0.1029299771744685,4,2
134824,0.9101312364182887,0.620293237903984,39,32
434502,0.7592277767668035,0.3820280068019477,28,18
223982,0.9888012596151392,0.8361965176277107,45,45
416382,0.6291323823957132,0.2183190903009763,18,9
415879,0.9702636637204204,0.7574938576600736,44,40
43277,0.8323754325800398,0.499006706017075,33,25
133951,0.5236917318473994,0.1595606969660648,10,6
418521,0.9902482548224952,0.8144081990253371,45,44
172376,0.5914985763142905,0.1950298477245392,15,8
413756,0.9675048054436544,0.7661139598945297,43,41
169662,0.8662844932822723,0.5125907213747296,36,26
385162,0.6941819062422683,0.3180165277443007,23,15
384819,0.6183179382851257,0.2194315216278598,17,9
171060,0.3927797855385978,0.0744583624815707,0,1
196365,0.4935156441036631,0.1300874940580645,8,4
196854,0.6695794910769437,0.2469460934367868,21,11
221572,0.3974767046771752,0.0751895244043594,0,1
197016,0.7094840069873918,0.3045986975437578,24,14
399047,0.6791702424847931,0.2950605644421757,22,13
413956,0.9731869358786058,0.7665780840066734,44,41
240358,0.9649486829208728,0.7619833120090943,43,41
467861,0.9760300883000844,0.7522693939576468,44,40
134901,0.9650661915616562,0.7326573887136357,43,39
399204,0.7032071354704744,0.3123283583908932,23,14
141544,1.0176819807519497,0.8291917448322418,47,45
252931,0.7078669681015487,0.329442393918623,24,15
173009,0.5519213398463481,0.192343037874829,12,7
385648,0.9651556130518384,0.7730725745531626,43,41
286716,0.7039653416251498,0.287901234770382,23,13
287337,0.8359378810961595,0.4841679048635405,33,24
224077,1.014929956815716,0.8635798026713014,47,47
28038,0.9311423582152538,0.636189683335485,41,33
385528,0.9076663332705748,0.6644689362920929,39,35
253251,0.9452356872612608,0.7296865968684623,42,39
384090,0.6449151359954933,0.2813775522974666,19,13
204413,0.8868816186902286,0.5971213450893266,37,31
384764,0.584100998484118,0.1863027773314626,14,7
43124,0.7131529359408257,0.3207232934913657,24,15
176579,1.02315800583337,0.865291125077914,48,47
384378,0.6434933138402678,0.2659623766223311,19,12
398953,0.572980051895582,0.1808175555081222,14,7
415478,0.981690621734694,0.7975765481573647,44,43
413766,0.96636204450328,0.7642856914608642,43,41
419695,0.983050763461688,0.7925581247225386,45,42
240004,0.6727604901567314,0.32784697270316,21,15
321117,0.7713226198772639,0.4252529080944609,29,21
434269,0.7128816481632935,0.3289855981942891,24,15
198288,1.0307248691664403,0.8832749902893924,48,48
433972,0.636851983025665,0.2240831954935741,18,9
223833,0.9842167429381942,0.8454839920784094,45,45
433888,0.688519214804264,0.29709337728876,22,14
134881,0.9457522320145112,0.6906661120036413,42,36
124357,0.8502959966227865,0.4805472451834843,35,24
169393,0.8570206605252685,0.4875478437191068,35,25
433887,0.689998459790851,0.2990859493577813,22,14
196299,0.4964571219761915,0.1339759855500151,8,4
204069,0.6063015187324439,0.2369449588011671,16,10
172604,0.7698642284793817,0.4086078107372181,28,20
331046,0.6329123938610928,0.2368581870982941,18,10
43086,0.6836824059621095,0.2836762953974329,22,13
433780,0.3919453559843666,0.0766994910591307,0,1
416643,0.8459862014254854,0.5227583430990074,34,27
417534,0.960663887239568,0.7455969073737531,43,40
196440,0.4943133082139615,0.129745672046803,8,4
204075,0.5956151576729435,0.2281678481125708,15,10
54862,0.9276028168417144,0.6440935145922714,40,34
467279,0.574433392365837,0.1833797188313394,14,7
399449,0.9147443015731088,0.6212738725904203,39,32
173476,0.9151349573166871,0.6616269395758697,39,35
252888,0.6791427981774077,0.2995126085057171,22,14
253233,0.9255604495932716,0.684670700251851,40,36
331880,1.0420740250142029,0.8992186619328378,49,49
384394,0.6399358893842079,0.2620308720506523,19,12
385258,0.8049314455219138,0.483414545194529,31,24
22449,0.9589844873122342,0.6947364212019354,43,37
196834,0.6533771788571955,0.2310487958146038,20,10
222432,0.8182451886338322,0.539388983841516,32,28
133994,0.5618064446228535,0.1966696321633682,13,8
172716,0.4436809158971975,0.1064434408621261,4,2
24163,0.953897582412785,0.681064354101175,42,36
134661,0.8226122895813145,0.4644437661534691,32,23
384549,0.7647549273755373,0.4233484576639605,28,21
331860,1.0432854923389536,0.9023671994782756,49,49
283802,0.8021882099861685,0.4196691993551867,31,21
197103,0.7170651256198782,0.3129783024845039,24,14
43575,0.9149531343104688,0.6469765648902485,39,34
173428,0.858981661693048,0.5526076862136514,35,28
42571,0.4074560632054713,0.0830480948626183,1,1
197081,0.7056367320759382,0.3008448571006085,24,14
204177,0.6626777624752979,0.2928509491579561,20,13
203769,0.5069668296170166,0.1449805557917486,9,5
252642,0.5819744418059161,0.2090903376028099,14,8
43201,0.7592217901634085,0.3912196284320506,28,19
