Index,X1_t,X2_t,cluster
50012,0.926265905840664,0.642400328107971,0
272145,1.0169704030421394,0.819206642609481,1
331046,0.6329123938610928,0.2368581870982941,2
85250,0.885941847705194,0.5636638559728187,3
12006,0.973251818312269,0.7300045233044727,4
170848,0.3968701966075685,0.0774439948936441,5
183486,1.0252675649505176,0.8645621192700266,6
43172,0.768213650964907,0.3936079193244171,7
447655,1.0075419175078364,0.7857750545578385,8
284939,0.8411607939574582,0.4715294277092574,9
196648,0.5273423323410014,0.1508859548803857,10
71650,0.9033849489792488,0.5953950682853212,11
239969,0.6755375123829377,0.3149001440075372,12
414232,0.9741911736965904,0.7736116037851566,13
210789,1.0375823598500729,0.8887954510177849,14
375460,1.0137634267835252,0.8104938466153041,15
242656,1.0238966389597592,0.8374978512480868,16
23645,0.9598259870942276,0.6961870823256857,17
172204,0.5654451798452308,0.1978615613949393,18
67356,0.9169493136293976,0.6246823549950785,19
223723,0.9788759105145856,0.8500416516997213,20
44268,0.9356697187110186,0.674741004255023,21
415444,0.9814406897604988,0.7969159934645604,22
196365,0.4935156441036631,0.1300874940580645,23
434606,0.7943767555854763,0.4332850732435957,24
181561,1.0192748712386095,0.8464337299402165,25
283622,0.7481418098189702,0.3544304443895758,26
197573,0.8363704826239352,0.4950914104136506,27
124516,0.8693419506740659,0.5302092795631872,28
33376,0.9149965797968396,0.6044897222834246,29
131151,0.8913775594804444,0.587599620703745,30
474680,1.0076768657817825,0.7802090286615854,31
384871,0.6606999327660593,0.2616739441535042,32
299149,1.018417128061164,0.8251989170009778,33
41375,0.8977194581808415,0.5716202102496554,34
165758,1.0105736011343065,0.8014408375991655,35
425447,0.9798423992473464,0.7842060599911278,36
217712,1.0242240906886353,0.8518736401511509,37
197076,0.7041360425501367,0.2986943098635156,38
222463,0.8113288217816158,0.5267359400934093,39
134061,0.5527004760740765,0.1745150577333144,40
185923,1.0307154769862368,0.8715433417351031,41
19604,0.9656629344098536,0.7119328938891467,42
9531,0.9748582243632417,0.7344552999864822,43
222678,0.9220737493428668,0.7360015145414612,44
397090,1.0149575415217076,0.814190268151954,45
222571,0.861743388133957,0.6204242514460562,46
416212,0.6068777676949203,0.2222691160549443,47
25934,0.9461721839703092,0.6668372727124157,48
284296,0.8502616524973167,0.4879487754306481,49
294364,1.0200546534498507,0.8313661353556283,50
434913,0.8165275962028318,0.4582591286331561,51
24741,0.943360689689018,0.6616022747155125,52
